49 t27.ai/#/blog: We hand-patched a generated file th | ⭐ 0 | 👁 15
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-17T19:36:59.632Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-17T19:46:58.703Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-17T19:56:56.938Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-17T20:07:35.152Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-17T20:17:53.500Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-17T20:27:49.520Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-17T20:37:53.482Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-17T20:47:54.538Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-17T20:58:10.299Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    timed out part-way - what it did before that stands: 

feed complete: push-work=ok land=empty-handed close-done=ok author=timed out
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-17T21:11:10.581Z feed start
the loop lock is held by heal (3 min) - standing down; it feeds too
2026-09-17T21:16:10.798Z feed start
the loop lock is held by heal (8 min) - standing down; it feeds too
2026-09-17T21:21:11.087Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-17T21:31:29.861Z feed start
the loop lock is held by heal (0 min) - standing down; it feeds too
2026-09-17T21:36:30.286Z feed start
the loop lock is held by heal (5 min) - standing down; it feeds too
2026-09-17T21:41:31.227Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-17T21:52:05.530Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-17T22:01:56.678Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-17T22:11:41.586Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-17T22:21:33.898Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-17T22:31:20.725Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-17T22:41:25.794Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-17T22:51:19.875Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-17T23:03:19.493Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-17T23:13:36.158Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-18T06:41:03.398Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    timed out part-way - what it did before that stands:   transport: out of time - a 30s wait would pass the 240s budget, stopping after 2 attempt

--- land  (put accepted work into the branch)
    SKIPPED - past the 8 minute deadline

--- close-done  (an open accepted issue holds its boundary)
    SKIPPED - past the 8 minute deadline

--- author  (refill to the queue depth)
    SKIPPED - past the 8 minute deadline

feed complete: push-work=timed out land=skipped close-done=skipped author=skipped
2026-09-18T14:02:29.433Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    timed out part-way - what it did before that stands: closable 12   skipped 49

--- author  (refill to the queue depth)
    SKIPPED - past the 8 minute deadline

feed complete: push-work=ok land=empty-handed close-done=timed out author=skipped
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-18T14:37:41.610Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-18T14:48:11.574Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-18T14:59:05.797Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-18T15:11:02.029Z feed start
the loop lock is held by heal (1 min) - standing down; it feeds too
2026-09-18T15:16:02.282Z feed start
the loop lock is held by heal (6 min) - standing down; it feeds too
2026-09-18T15:21:02.550Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 1 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 1 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
  EMPTY-HANDED  land: 1 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 1 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-18T15:31:16.641Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-18T15:41:09.431Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-18T15:51:04.319Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-18T16:01:26.215Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-18T16:11:23.269Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-18T16:21:46.331Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-18T16:31:36.281Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-18T16:41:31.435Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-18T16:51:29.672Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-18T17:01:42.018Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-18T17:11:20.698Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-18T17:21:30.618Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-18T17:31:23.807Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
  EMPTY-HANDED  land: 3 branch(es) are landable and none could be put in a batch - they conflict
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.
2026-09-18T17:41:12.713Z feed start

--- push-work  (a branch nobody can see cannot be closed against)
    pushed 0

--- land  (put accepted work into the branch)
    EMPTY-HANDED - 3 branch(es) are landable and none could be put in a batch - they conflict; it reported: 0 accepted branch(es) landed
      REFUSED - ALL 3 remaining branch(es) conflict. Nothing here can be landed by merging.

--- close-done  (an open accepted issue holds its boundary)
    closed 12, failed 0

--- author  (refill to the queue depth)
    REFUSED to file - nobody is draining the backlog

feed complete: push-work=ok land=empty-handed close-done=ok author=ok
